Analyzing: models/BAS/model-56.pth

--- PyTorch Model State Dict ---
Key                                                         |                     Shape |    Num Elements | SHA256 (start)
--------------------------------------------------------------------------------------------------------------------------
test_conv.weight                                            |              [1, 3, 3, 3] |              27 | d5f3eb37
test_conv.bias                                              |                       [1] |               1 | df3f6198
decoder.sqz_s2.0.weight                                     |           [64, 256, 3, 3] |         147,456 | a87dc291
decoder.sqz_s2.0.bias                                       |                      [64] |              64 | 7a9c2998
decoder.sqz_s2.1.weight                                     |                      [64] |              64 | f4bd61cb
decoder.sqz_s2.1.bias                                       |                      [64] |              64 | fad2db92
decoder.sqz_s2.1.running_mean                               |                      [64] |              64 | 4ea27e52
decoder.sqz_s2.1.running_var                                |                      [64] |              64 | 78e3396c
decoder.sqz_s2.1.num_batches_tracked                        |                        [] |               1 | 76e9aa8a
decoder.sqz_r5.0.weight                                     |           [64, 512, 3, 3] |         294,912 | 21eaa6f3
decoder.sqz_r5.0.bias                                       |                      [64] |              64 | 350b7f05
decoder.sqz_r5.1.weight                                     |                      [64] |              64 | 500756bc
decoder.sqz_r5.1.bias                                       |                      [64] |              64 | 90279e3a
decoder.sqz_r5.1.running_mean                               |                      [64] |              64 | f33e860f
decoder.sqz_r5.1.running_var                                |                      [64] |              64 | 77aa32be
decoder.sqz_r5.1.num_batches_tracked                        |                        [] |               1 | 76e9aa8a
decoder.GF.0.weight                                         |           [64, 128, 3, 3] |          73,728 | 7f99686f
decoder.GF.0.bias                                           |                      [64] |              64 | bf2fc157
decoder.GF.1.weight                                         |                      [64] |              64 | 3411a392
decoder.GF.1.bias                                           |                      [64] |              64 | 8ac3c7d1
decoder.GF.1.running_mean                                   |                      [64] |              64 | 8f673ec9
decoder.GF.1.running_var                                    |                      [64] |              64 | 2667407b
decoder.GF.1.num_batches_tracked                            |                        [] |               1 | 76e9aa8a
decoder.d1.squeeze1.0.weight                                |           [64, 512, 1, 1] |          32,768 | 660eaaa8
decoder.d1.squeeze1.0.bias                                  |                      [64] |              64 | 1c44392c
decoder.d1.squeeze1.1.weight                                |                      [64] |              64 | 940c1669
decoder.d1.squeeze1.1.bias                                  |                      [64] |              64 | 3e5d6083
decoder.d1.squeeze1.1.running_mean                          |                      [64] |              64 | 0ddc04b3
decoder.d1.squeeze1.1.running_var                           |                      [64] |              64 | 86391f17
decoder.d1.squeeze1.1.num_batches_tracked                   |                        [] |               1 | 76e9aa8a
decoder.d1.squeeze2.0.weight                                |            [64, 64, 3, 3] |          36,864 | 651e24e2
decoder.d1.squeeze2.0.bias                                  |                      [64] |              64 | ae17f638
decoder.d1.squeeze2.1.weight                                |                      [64] |              64 | f2d72098
decoder.d1.squeeze2.1.bias                                  |                      [64] |              64 | 26cee8dd
decoder.d1.squeeze2.1.running_mean                          |                      [64] |              64 | 2352f05f
decoder.d1.squeeze2.1.running_var                           |                      [64] |              64 | 7daca439
decoder.d1.squeeze2.1.num_batches_tracked                   |                        [] |               1 | 76e9aa8a
decoder.d2.short_cut.weight                                 |            [64, 64, 1, 1] |           4,096 | 61b196dc
decoder.d2.short_cut.bias                                   |                      [64] |              64 | 625d1a09
decoder.d2.conv.0.weight                                    |           [64, 576, 3, 3] |         331,776 | 4b4158d8
decoder.d2.conv.0.bias                                      |                      [64] |              64 | 5623ac3c
decoder.d2.conv.1.weight                                    |                      [64] |              64 | 18243996
decoder.d2.conv.1.bias                                      |                      [64] |              64 | 3fc47490
decoder.d2.conv.1.running_mean                              |                      [64] |              64 | 9d16d447
decoder.d2.conv.1.running_var                               |                      [64] |              64 | 17b9c6b6
decoder.d2.conv.1.num_batches_tracked                       |                        [] |               1 | 76e9aa8a
decoder.d2.conv.3.weight                                    |            [64, 64, 3, 3] |          36,864 | 9e035f02
decoder.d2.conv.3.bias                                      |                      [64] |              64 | 7bba2bf8
decoder.d2.conv.4.weight                                    |                      [64] |              64 | 88f2859f
decoder.d2.conv.4.bias                                      |                      [64] |              64 | 630a6b80
decoder.d2.conv.4.running_mean                              |                      [64] |              64 | 717defae
decoder.d2.conv.4.running_var                               |                      [64] |              64 | c1f4ac2f
decoder.d2.conv.4.num_batches_tracked                       |                        [] |               1 | 76e9aa8a
decoder.d2.conv2.0.weight                                   |            [64, 64, 3, 3] |          36,864 | d431b4b1
decoder.d2.conv2.0.bias                                     |                      [64] |              64 | 23a39f5f
decoder.d2.conv2.1.weight                                   |                      [64] |              64 | b011c1ce
