Analyzing: models/General-HR.safetensors

--- PyTorch Model State Dict ---
Key                                                                               |                     Shape |    Num Elements | SHA256 (start)
------------------------------------------------------------------------------------------------------------------------------------------------
bb.layers.0.blocks.0.attn.relative_position_index                                 |                [144, 144] |          20,736 | 66d081f9
bb.layers.0.blocks.1.attn.relative_position_index                                 |                [144, 144] |          20,736 | 66d081f9
bb.layers.1.blocks.0.attn.relative_position_index                                 |                [144, 144] |          20,736 | 66d081f9
bb.layers.1.blocks.1.attn.relative_position_index                                 |                [144, 144] |          20,736 | 66d081f9
bb.layers.2.blocks.0.attn.relative_position_index                                 |                [144, 144] |          20,736 | 66d081f9
bb.layers.2.blocks.1.attn.relative_position_index                                 |                [144, 144] |          20,736 | 66d081f9
bb.layers.2.blocks.10.attn.relative_position_index                                |                [144, 144] |          20,736 | 66d081f9
bb.layers.2.blocks.11.attn.relative_position_index                                |                [144, 144] |          20,736 | 66d081f9
bb.layers.2.blocks.12.attn.relative_position_index                                |                [144, 144] |          20,736 | 66d081f9
bb.layers.2.blocks.13.attn.relative_position_index                                |                [144, 144] |          20,736 | 66d081f9
bb.layers.2.blocks.14.attn.relative_position_index                                |                [144, 144] |          20,736 | 66d081f9
bb.layers.2.blocks.15.attn.relative_position_index                                |                [144, 144] |          20,736 | 66d081f9
bb.layers.2.blocks.16.attn.relative_position_index                                |                [144, 144] |          20,736 | 66d081f9
bb.layers.2.blocks.17.attn.relative_position_index                                |                [144, 144] |          20,736 | 66d081f9
bb.layers.2.blocks.2.attn.relative_position_index                                 |                [144, 144] |          20,736 | 66d081f9
bb.layers.2.blocks.3.attn.relative_position_index                                 |                [144, 144] |          20,736 | 66d081f9
bb.layers.2.blocks.4.attn.relative_position_index                                 |                [144, 144] |          20,736 | 66d081f9
bb.layers.2.blocks.5.attn.relative_position_index                                 |                [144, 144] |          20,736 | 66d081f9
bb.layers.2.blocks.6.attn.relative_position_index                                 |                [144, 144] |          20,736 | 66d081f9
bb.layers.2.blocks.7.attn.relative_position_index                                 |                [144, 144] |          20,736 | 66d081f9
bb.layers.2.blocks.8.attn.relative_position_index                                 |                [144, 144] |          20,736 | 66d081f9
