Analyzing: /home/salvador/Descargas/BiRefNet_HR-general-epoch_230.pth

--- PyTorch Model State Dict ---
Key                                                                               |                     Shape |    Num Elements | SHA256 (start)
------------------------------------------------------------------------------------------------------------------------------------------------
bb.patch_embed.proj.weight                                                        |            [192, 3, 4, 4] |           9,216 | ba43d257
bb.patch_embed.proj.bias                                                          |                     [192] |             192 | 4f4da0fe
bb.patch_embed.norm.weight                                                        |                     [192] |             192 | 5e60eaf5
bb.patch_embed.norm.bias                                                          |                     [192] |             192 | e9f4e921
bb.layers.0.blocks.0.norm1.weight                                                 |                     [192] |             192 | cfaf7289
bb.layers.0.blocks.0.norm1.bias                                                   |                     [192] |             192 | 9064552e
bb.layers.0.blocks.0.attn.relative_position_bias_table                            |                  [529, 6] |           3,174 | 230d5d55
bb.layers.0.blocks.0.attn.relative_position_index                                 |                [144, 144] |          20,736 | 66d081f9
bb.layers.0.blocks.0.attn.qkv.weight                                              |                [576, 192] |         110,592 | 61b368ec
bb.layers.0.blocks.0.attn.qkv.bias                                                |                     [576] |             576 | 94ef4382
bb.layers.0.blocks.0.attn.proj.weight                                             |                [192, 192] |          36,864 | fca65763
bb.layers.0.blocks.0.attn.proj.bias                                               |                     [192] |             192 | da69d98c
bb.layers.0.blocks.0.norm2.weight                                                 |                     [192] |             192 | c9f4ad0f
bb.layers.0.blocks.0.norm2.bias                                                   |                     [192] |             192 | a469f61a
bb.layers.0.blocks.0.mlp.fc1.weight                                               |                [768, 192] |         147,456 | ba3fca2e
bb.layers.0.blocks.0.mlp.fc1.bias                                                 |                     [768] |             768 | 1abb5423
bb.layers.0.blocks.0.mlp.fc2.weight                                               |                [192, 768] |         147,456 | dffb8f91
bb.layers.0.blocks.0.mlp.fc2.bias                                                 |                     [192] |             192 | 16c038ff
bb.layers.0.blocks.1.norm1.weight                                                 |                     [192] |             192 | 29d321fc
bb.layers.0.blocks.1.norm1.bias                                                   |                     [192] |             192 | d8e84c7b
bb.layers.0.blocks.1.attn.relative_position_bias_table                            |                  [529, 6] |           3,174 | 9b97ae4c
bb.layers.0.blocks.1.attn.relative_position_index                                 |                [144, 144] |          20,736 | 66d081f9
bb.layers.0.blocks.1.attn.qkv.weight                                              |                [576, 192] |         110,592 | 53c02c46
bb.layers.0.blocks.1.attn.qkv.bias                                                |                     [576] |             576 | 21a99bcf
bb.layers.0.blocks.1.attn.proj.weight                                             |                [192, 192] |          36,864 | 06c3f418
bb.layers.0.blocks.1.attn.proj.bias                                               |                     [192] |             192 | 59e83b41
bb.layers.0.blocks.1.norm2.weight                                                 |                     [192] |             192 | 2571c2fd
bb.layers.0.blocks.1.norm2.bias                                                   |                     [192] |             192 | 09302530
bb.layers.0.blocks.1.mlp.fc1.weight                                               |                [768, 192] |         147,456 | c0680c10
bb.layers.0.blocks.1.mlp.fc1.bias                                                 |                     [768] |             768 | 90967df4
bb.layers.0.blocks.1.mlp.fc2.weight                                               |                [192, 768] |         147,456 | 6f6c9c76
bb.layers.0.blocks.1.mlp.fc2.bias                                                 |                     [192] |             192 | 328a6297
bb.layers.0.downsample.reduction.weight                                           |                [384, 768] |         294,912 | 0977d701
bb.layers.0.downsample.norm.weight                                                |                     [768] |             768 | d9b1aaa7
bb.layers.0.downsample.norm.bias                                                  |                     [768] |             768 | 573355ba
bb.layers.1.blocks.0.norm1.weight                                                 |                     [384] |             384 | 2d49edb7
bb.layers.1.blocks.0.norm1.bias                                                   |                     [384] |             384 | 03fbe0de
bb.layers.1.blocks.0.attn.relative_position_bias_table                            |                 [529, 12] |           6,348 | 4f5b379c
bb.layers.1.blocks.0.attn.relative_position_index                                 |                [144, 144] |          20,736 | 66d081f9
bb.layers.1.blocks.0.attn.qkv.weight                                              |               [1152, 384] |         442,368 | f8b039e5
bb.layers.1.blocks.0.attn.qkv.bias                                                |                    [1152] |           1,152 | 9edaed21
bb.layers.1.blocks.0.attn.proj.weight                                             |                [384, 384] |         147,456 | 0bc0f97b
bb.layers.1.blocks.0.attn.proj.bias                                               |                     [384] |             384 | 83a349d3
bb.layers.1.blocks.0.norm2.weight                                                 |                     [384] |             384 | 00257f68
bb.layers.1.blocks.0.norm2.bias                                                   |                     [384] |             384 | ed46824e
bb.layers.1.blocks.0.mlp.fc1.weight                                               |               [1536, 384] |         589,824 | 7896a6da
