Analyzing: models/ESNet_fir.pth

--- PyTorch Model State Dict ---
Key                                                |                     Shape |    Num Elements | SHA256 (start)
-----------------------------------------------------------------------------------------------------------------
bkbone.conv1.weight                                |             [64, 3, 7, 7] |           9,408 | 6a906b33
bkbone.bn1.weight                                  |                      [64] |              64 | d9196f8c
bkbone.bn1.bias                                    |                      [64] |              64 | 689884d8
bkbone.bn1.running_mean                            |                      [64] |              64 | 0ad26245
bkbone.bn1.running_var                             |                      [64] |              64 | 8235d6fa
bkbone.bn1.num_batches_tracked                     |                        [] |               1 | 441f0ce6
bkbone.layer1.0.conv1.weight                       |            [64, 64, 1, 1] |           4,096 | 6fb109d5
bkbone.layer1.0.bn1.weight                         |                      [64] |              64 | ba31ea73
bkbone.layer1.0.bn1.bias                           |                      [64] |              64 | 72ffad3b
bkbone.layer1.0.bn1.running_mean                   |                      [64] |              64 | 24eadbca
bkbone.layer1.0.bn1.running_var                    |                      [64] |              64 | 29f5870e
bkbone.layer1.0.bn1.num_batches_tracked            |                        [] |               1 | 441f0ce6
bkbone.layer1.0.conv2.weight                       |            [64, 64, 3, 3] |          36,864 | 34d61c40
bkbone.layer1.0.bn2.weight                         |                      [64] |              64 | 5365ad28
bkbone.layer1.0.bn2.bias                           |                      [64] |              64 | f056ed40
bkbone.layer1.0.bn2.running_mean                   |                      [64] |              64 | 0534d593
bkbone.layer1.0.bn2.running_var                    |                      [64] |              64 | 2105b5a9
bkbone.layer1.0.bn2.num_batches_tracked            |                        [] |               1 | 441f0ce6
bkbone.layer1.0.conv3.weight                       |           [256, 64, 1, 1] |          16,384 | 30ef3438
bkbone.layer1.0.bn3.weight                         |                     [256] |             256 | 6ba6963b
bkbone.layer1.0.bn3.bias                           |                     [256] |             256 | 4092f583
bkbone.layer1.0.bn3.running_mean                   |                     [256] |             256 | bc624259
bkbone.layer1.0.bn3.running_var                    |                     [256] |             256 | cc69e0a2
bkbone.layer1.0.bn3.num_batches_tracked            |                        [] |               1 | 441f0ce6
bkbone.layer1.0.downsample.0.weight                |           [256, 64, 1, 1] |          16,384 | 86339688
bkbone.layer1.0.downsample.1.weight                |                     [256] |             256 | 619ca19b
bkbone.layer1.0.downsample.1.bias                  |                     [256] |             256 | 4092f583
bkbone.layer1.0.downsample.1.running_mean          |                     [256] |             256 | 3a7e51b6
bkbone.layer1.0.downsample.1.running_var           |                     [256] |             256 | 05dcd0f6
bkbone.layer1.0.downsample.1.num_batches_tracked   |                        [] |               1 | 441f0ce6
bkbone.layer1.1.conv1.weight                       |           [64, 256, 1, 1] |          16,384 | a88337d8
bkbone.layer1.1.bn1.weight                         |                      [64] |              64 | 6428d414
bkbone.layer1.1.bn1.bias                           |                      [64] |              64 | 6404fd4b
bkbone.layer1.1.bn1.running_mean                   |                      [64] |              64 | 223523f7
bkbone.layer1.1.bn1.running_var                    |                      [64] |              64 | 243cbca1
