Analyzing: models/ESNet_sec.pth

--- PyTorch Model State Dict ---
Key                                            |                     Shape |    Num Elements | SHA256 (start)
-------------------------------------------------------------------------------------------------------------
e1.conv1.weight                                |             [64, 3, 7, 7] |           9,408 | 18b7f14c
e1.bn1.weight                                  |                      [64] |              64 | 30e7a3be
e1.bn1.bias                                    |                      [64] |              64 | de5d2e3b
e1.bn1.running_mean                            |                      [64] |              64 | 6e8ab6af
e1.bn1.running_var                             |                      [64] |              64 | 79c9a64a
e1.bn1.num_batches_tracked                     |                        [] |               1 | a695cab5
e1.layer1.0.conv1.weight                       |            [64, 64, 1, 1] |           4,096 | d864579a
e1.layer1.0.bn1.weight                         |                      [64] |              64 | fd828c85
e1.layer1.0.bn1.bias                           |                      [64] |              64 | 38499886
e1.layer1.0.bn1.running_mean                   |                      [64] |              64 | 16bdee16
e1.layer1.0.bn1.running_var                    |                      [64] |              64 | ff38fb96
e1.layer1.0.bn1.num_batches_tracked            |                        [] |               1 | a695cab5
e1.layer1.0.conv2.weight                       |            [64, 64, 7, 7] |         200,704 | 322d2696
e1.layer1.0.bn2.weight                         |                      [64] |              64 | 8ca9504f
e1.layer1.0.bn2.bias                           |                      [64] |              64 | 77794b72
e1.layer1.0.bn2.running_mean                   |                      [64] |              64 | 42704c0f
e1.layer1.0.bn2.running_var                    |                      [64] |              64 | 8604ffbe
e1.layer1.0.bn2.num_batches_tracked            |                        [] |               1 | a695cab5
e1.layer1.0.conv3.weight                       |           [256, 64, 1, 1] |          16,384 | dd7d68ca
e1.layer1.0.bn3.weight                         |                     [256] |             256 | a6747be2
e1.layer1.0.bn3.bias                           |                     [256] |             256 | 30b2cd13
e1.layer1.0.bn3.running_mean                   |                     [256] |             256 | b37558c5
e1.layer1.0.bn3.running_var                    |                     [256] |             256 | 2a75d707
e1.layer1.0.bn3.num_batches_tracked            |                        [] |               1 | a695cab5
e1.layer1.0.downsample.0.weight                |           [256, 64, 1, 1] |          16,384 | 4b2983aa
e1.layer1.0.downsample.1.weight                |                     [256] |             256 | 3d52fc40
e1.layer1.0.downsample.1.bias                  |                     [256] |             256 | 30b2cd13
e1.layer1.0.downsample.1.running_mean          |                     [256] |             256 | 59d2c921
e1.layer1.0.downsample.1.running_var           |                     [256] |             256 | 2de828b2
