Analyzing: models/ESNet_swin_fir.pth

--- PyTorch Model State Dict ---
Key                                                           |                     Shape |    Num Elements | SHA256 (start)
----------------------------------------------------------------------------------------------------------------------------
bkbone.patch_embed.proj.weight                                |            [128, 3, 4, 4] |           6,144 | 860540d5
bkbone.patch_embed.proj.bias                                  |                     [128] |             128 | dff19749
bkbone.patch_embed.norm.weight                                |                     [128] |             128 | fe87ad28
bkbone.patch_embed.norm.bias                                  |                     [128] |             128 | 41af27fc
bkbone.layers.0.blocks.0.norm1.weight                         |                     [128] |             128 | d77be0ae
bkbone.layers.0.blocks.0.norm1.bias                           |                     [128] |             128 | fd3a54a2
bkbone.layers.0.blocks.0.attn.relative_position_bias_table    |                  [529, 4] |           2,116 | 3795f07d
bkbone.layers.0.blocks.0.attn.relative_position_index         |                [144, 144] |          20,736 | 66d081f9
bkbone.layers.0.blocks.0.attn.qkv.weight                      |                [384, 128] |          49,152 | ddba1d3b
bkbone.layers.0.blocks.0.attn.qkv.bias                        |                     [384] |             384 | 79521103
bkbone.layers.0.blocks.0.attn.proj.weight                     |                [128, 128] |          16,384 | 519d4de7
bkbone.layers.0.blocks.0.attn.proj.bias                       |                     [128] |             128 | 6dff2cf9
bkbone.layers.0.blocks.0.norm2.weight                         |                     [128] |             128 | 09f97aa1
bkbone.layers.0.blocks.0.norm2.bias                           |                     [128] |             128 | bfc1470c
bkbone.layers.0.blocks.0.mlp.fc1.weight                       |                [512, 128] |          65,536 | 63c6a489
bkbone.layers.0.blocks.0.mlp.fc1.bias                         |                     [512] |             512 | 7df3ed2b
bkbone.layers.0.blocks.0.mlp.fc2.weight                       |                [128, 512] |          65,536 | 56494d07
bkbone.layers.0.blocks.0.mlp.fc2.bias                         |                     [128] |             128 | d1fd7249
bkbone.layers.0.blocks.1.attn_mask                            |            [64, 144, 144] |       1,327,104 | 36faf838
bkbone.layers.0.blocks.1.norm1.weight                         |                     [128] |             128 | 9f582431
bkbone.layers.0.blocks.1.norm1.bias                           |                     [128] |             128 | d28944a8
bkbone.layers.0.blocks.1.attn.relative_position_bias_table    |                  [529, 4] |           2,116 | 75850157
bkbone.layers.0.blocks.1.attn.relative_position_index         |                [144, 144] |          20,736 | 66d081f9
bkbone.layers.0.blocks.1.attn.qkv.weight                      |                [384, 128] |          49,152 | dba6f0e6
bkbone.layers.0.blocks.1.attn.qkv.bias                        |                     [384] |             384 | 1861d17f
bkbone.layers.0.blocks.1.attn.proj.weight                     |                [128, 128] |          16,384 | 50f23ad6
bkbone.layers.0.blocks.1.attn.proj.bias                       |                     [128] |             128 | d7abfb01
