Analyzing: models/FSANet-100.pth

--- PyTorch Model State Dict ---
Key                                                           |                     Shape |    Num Elements | SHA256 (start)
----------------------------------------------------------------------------------------------------------------------------
module.sff.sea.local_att.0.weight                             |            [16, 64, 1, 1] |           1,024 | eff39fce
module.sff.sea.local_att.0.bias                               |                      [16] |              16 | 1d5748f3
module.sff.sea.local_att.1.weight                             |                      [16] |              16 | 6644b0c8
module.sff.sea.local_att.1.bias                               |                      [16] |              16 | 4cb11255
module.sff.sea.local_att.1.running_mean                       |                      [16] |              16 | 2463c05b
module.sff.sea.local_att.1.running_var                        |                      [16] |              16 | 4dafad57
module.sff.sea.local_att.1.num_batches_tracked                |                        [] |               1 | c308ef0e
module.sff.sea.local_att.3.weight                             |            [64, 16, 1, 1] |           1,024 | fa093e00
module.sff.sea.local_att.3.bias                               |                      [64] |              64 | 38545660
module.sff.sea.local_att.4.weight                             |                      [64] |              64 | dca2aef6
module.sff.sea.local_att.4.bias                               |                      [64] |              64 | 4034581a
module.sff.sea.local_att.4.running_mean                       |                      [64] |              64 | 6071b406
module.sff.sea.local_att.4.running_var                        |                      [64] |              64 | 462e4e7c
module.sff.sea.local_att.4.num_batches_tracked                |                        [] |               1 | c308ef0e
module.sff.sea.global_att.1.weight                            |            [16, 64, 1, 1] |           1,024 | abaa3b1a
module.sff.sea.global_att.1.bias                              |                      [16] |              16 | 415005d1
module.sff.sea.global_att.2.weight                            |                      [16] |              16 | c8ba0b28
module.sff.sea.global_att.2.bias                              |                      [16] |              16 | de1d8941
module.sff.sea.global_att.2.running_mean                      |                      [16] |              16 | 1789e2b7
module.sff.sea.global_att.2.running_var                       |                      [16] |              16 | a395e4b3
module.sff.sea.global_att.2.num_batches_tracked               |                        [] |               1 | c308ef0e
module.sff.sea.global_att.4.weight                            |            [64, 16, 1, 1] |           1,024 | ad0dc5ca
module.sff.sea.global_att.4.bias                              |                      [64] |              64 | 3a48b562
module.sff.sea.global_att.5.weight                            |                      [64] |              64 | e5ccff7d
module.sff.sea.global_att.5.bias                              |                      [64] |              64 | 09baa20e
module.sff.sea.global_att.5.running_mean                      |                      [64] |              64 | e449f635
module.sff.sea.global_att.5.running_var                       |                      [64] |              64 | 98cd2417
module.sff.sea.global_att.5.num_batches_tracked               |                        [] |               1 | c308ef0e
module.sff.sea.channel_att.0.weight                           |            [16, 64, 1, 1] |           1,024 | 904e9333
module.sff.sea.channel_att.0.bias                             |                      [16] |              16 | 945b3a41
module.sff.sea.channel_att.1.weight                           |                      [16] |              16 | c27c812f
module.sff.sea.channel_att.1.bias                             |                      [16] |              16 | b79e7ee6
module.sff.sea.channel_att.1.running_mean                     |                      [16] |              16 | 8cb9f932
module.sff.sea.channel_att.1.running_var                      |                      [16] |              16 | 0f5a8033
module.sff.sea.channel_att.1.num_batches_tracked              |                        [] |               1 | c308ef0e
module.sff.sea.channel_att.3.weight                           |            [64, 16, 1, 1] |           1,024 | 1fefd2af
module.sff.sea.channel_att.3.bias                             |                      [64] |              64 | 061f8d90
module.sff.sea.channel_att.4.weight                           |                      [64] |              64 | fd210ceb
module.sff.sea.channel_att.4.bias                             |                      [64] |              64 | 705e751d
module.sff.sea.channel_att.4.running_mean                     |                      [64] |              64 | 9c496d3a
module.sff.sea.channel_att.4.running_var                      |                      [64] |              64 | a8e482f2
module.sff.sea.channel_att.4.num_batches_tracked              |                        [] |               1 | c308ef0e
module.sff.conv_xy.weight                                     |          [128, 128, 3, 3] |         147,456 | 2407f4da
module.sff.bn_xy.weight                                       |                     [128] |             128 | 248cd0fa
module.sff.bn_xy.bias                                         |                     [128] |             128 | 31421d4b
module.sff.bn_xy.running_mean                                 |                     [128] |             128 | 986edc4a
module.sff.bn_xy.running_var                                  |                     [128] |             128 | ca835955
module.sff.bn_xy.num_batches_tracked                          |                        [] |               1 | c308ef0e
module.sff.conv_gate.weight                                   |          [128, 128, 3, 3] |         147,456 | 366d1aba
module.sff.bn_gate.weight                                     |                     [128] |             128 | 5487a556
module.sff.bn_gate.bias                                       |                     [128] |             128 | 9d212b74
module.sff.bn_gate.running_mean                               |                     [128] |             128 | 96115814
module.sff.bn_gate.running_var                                |                     [128] |             128 | b60f4afb
module.sff.bn_gate.num_batches_tracked                        |                        [] |               1 | c308ef0e
module.sff.conv_out.weight                                    |           [64, 128, 3, 3] |          73,728 | aa17a46f
module.sff.bn_out.weight                                      |                      [64] |              64 | 2f20cd03
module.sff.bn_out.bias                                        |                      [64] |              64 | 5341e6b2
module.sff.bn_out.running_mean                                |                      [64] |              64 | 5341e6b2
module.sff.bn_out.running_var                                 |                      [64] |              64 | 2f20cd03
module.sff.bn_out.num_batches_tracked                         |                        [] |               1 | af5570f5
module.frequency.radius                                       |                       [1] |               1 | 2238f30d
module.backbone.patch_embed1.proj.weight                      |             [64, 3, 7, 7] |           9,408 | ffd4a78b
module.backbone.patch_embed1.proj.bias                        |                      [64] |              64 | 201c8eb2
module.backbone.patch_embed1.norm.weight                      |                      [64] |              64 | 9c4fc9f1
module.backbone.patch_embed1.norm.bias                        |                      [64] |              64 | 3c242083
module.backbone.patch_embed2.proj.weight                      |           [128, 64, 3, 3] |          73,728 | d1cfda9e
module.backbone.patch_embed2.proj.bias                        |                     [128] |             128 | b3fdcf7d
module.backbone.patch_embed2.norm.weight                      |                     [128] |             128 | 247a69f2
module.backbone.patch_embed2.norm.bias                        |                     [128] |             128 | 4843ec7b
module.backbone.patch_embed3.proj.weight                      |          [320, 128, 3, 3] |         368,640 | 1301dce8
module.backbone.patch_embed3.proj.bias                        |                     [320] |             320 | d23d4caf
module.backbone.patch_embed3.norm.weight                      |                     [320] |             320 | 65ac6e6c
module.backbone.patch_embed3.norm.bias                        |                     [320] |             320 | ae3f3c91
module.backbone.patch_embed4.proj.weight                      |          [512, 320, 3, 3] |       1,474,560 | 2c22578c
module.backbone.patch_embed4.proj.bias                        |                     [512] |             512 | ea98c24f
module.backbone.patch_embed4.norm.weight                      |                     [512] |             512 | 7dcf1dc3
module.backbone.patch_embed4.norm.bias                        |                     [512] |             512 | 156de2d4
module.backbone.block1.0.norm1.weight                         |                      [64] |              64 | 54572c8b
module.backbone.block1.0.norm1.bias                           |                      [64] |              64 | 8480fb28
module.backbone.block1.0.attn.q.weight                        |                  [64, 64] |           4,096 | 1bcefd4a
module.backbone.block1.0.attn.q.bias                          |                      [64] |              64 | e0c2470a
module.backbone.block1.0.attn.kv.weight                       |                 [128, 64] |           8,192 | 760ed538
module.backbone.block1.0.attn.kv.bias                         |                     [128] |             128 | 16eea9bc
module.backbone.block1.0.attn.proj.weight                     |                  [64, 64] |           4,096 | d4254563
module.backbone.block1.0.attn.proj.bias                       |                      [64] |              64 | 40088199
module.backbone.block1.0.attn.sr.weight                       |            [64, 64, 8, 8] |         262,144 | a7eaeca4
module.backbone.block1.0.attn.sr.bias                         |                      [64] |              64 | 00df948c
