Analyzing: custom_nodes/ComfyUI-RemoveBackground_SET/models/PGNet_DUT+HR-model-31.pth

--- PyTorch Model State Dict ---
Key                                                                |                     Shape |    Num Elements | SHA256 (start)
---------------------------------------------------------------------------------------------------------------------------------
module.decoder.sqz_s2.0.weight                                     |           [64, 256, 3, 3] |         147,456 | 85dfa4ce
module.decoder.sqz_s2.0.bias                                       |                      [64] |              64 | bdacb9a5
module.decoder.sqz_s2.1.weight                                     |                      [64] |              64 | e6beb21f
module.decoder.sqz_s2.1.bias                                       |                      [64] |              64 | e33c636a
module.decoder.sqz_s2.1.running_mean                               |                      [64] |              64 | 8754ac26
module.decoder.sqz_s2.1.running_var                                |                      [64] |              64 | 124d3f95
module.decoder.sqz_s2.1.num_batches_tracked                        |                        [] |               1 | ccb4d0bf
module.decoder.sqz_r5.0.weight                                     |           [64, 512, 3, 3] |         294,912 | 9efd0d2b
module.decoder.sqz_r5.0.bias                                       |                      [64] |              64 | 037f8cc7
module.decoder.sqz_r5.1.weight                                     |                      [64] |              64 | 406ddf41
module.decoder.sqz_r5.1.bias                                       |                      [64] |              64 | e7c90d4a
module.decoder.sqz_r5.1.running_mean                               |                      [64] |              64 | dcfa556c
module.decoder.sqz_r5.1.running_var                                |                      [64] |              64 | 32e6fada
module.decoder.sqz_r5.1.num_batches_tracked                        |                        [] |               1 | ccb4d0bf
module.decoder.GF.k.weight                                         |                  [64, 64] |           4,096 | 0cf3069e
module.decoder.GF.k.bias                                           |                      [64] |              64 | a4d6cdd6
module.decoder.GF.qv.weight                                        |                 [128, 64] |           8,192 | 18d56aaa
module.decoder.GF.qv.bias                                          |                     [128] |             128 | fe7051d6
module.decoder.GF.proj.weight                                      |                  [64, 64] |           4,096 | 5ee14ae8
module.decoder.GF.proj.bias                                        |                      [64] |              64 | 785056de
module.decoder.GF.conv.weight                                      |              [8, 8, 3, 3] |             576 | 47ebd1ae
module.decoder.GF.conv.bias                                        |                       [8] |               8 | dd95c477
module.decoder.GF.lnx.weight                                       |                      [64] |              64 | cfc0e585
module.decoder.GF.lnx.bias                                         |                      [64] |              64 | d9fb3724
module.decoder.GF.lny.weight                                       |                      [64] |              64 | b27686d6
module.decoder.GF.lny.bias                                         |                      [64] |              64 | 58bbbd87
module.decoder.GF.bn.weight                                        |                       [8] |               8 | 073d23df
module.decoder.GF.bn.bias                                          |                       [8] |               8 | 702303b1
module.decoder.GF.bn.running_mean                                  |                       [8] |               8 | cc81fc52
module.decoder.GF.bn.running_var                                   |                       [8] |               8 | 0b904d2e
module.decoder.GF.bn.num_batches_tracked                           |                        [] |               1 | ccb4d0bf
module.decoder.GF.conv2.0.weight                                   |            [64, 64, 3, 3] |          36,864 | fa9ed43e
module.decoder.GF.conv2.0.bias                                     |                      [64] |              64 | ad0d6db8
module.decoder.GF.conv2.1.weight                                   |                      [64] |              64 | c7a80456
module.decoder.GF.conv2.1.bias                                     |                      [64] |              64 | 8b7c925d
module.decoder.GF.conv2.1.running_mean                             |                      [64] |              64 | 60f5e40c
module.decoder.GF.conv2.1.running_var                              |                      [64] |              64 | 833794dc
module.decoder.GF.conv2.1.num_batches_tracked                      |                        [] |               1 | ccb4d0bf
module.decoder.GF.conv2.3.weight                                   |            [64, 64, 3, 3] |          36,864 | 79db23b1
module.decoder.GF.conv2.3.bias                                     |                      [64] |              64 | 4eb6642e
module.decoder.GF.conv2.4.weight                                   |                      [64] |              64 | 6bc4dc03
module.decoder.GF.conv2.4.bias                                     |                      [64] |              64 | ca485fdb
module.decoder.GF.conv2.4.running_mean                             |                      [64] |              64 | 26cf83f5
module.decoder.GF.conv2.4.running_var                              |                      [64] |              64 | ee9a326e
module.decoder.GF.conv2.4.num_batches_tracked                      |                        [] |               1 | ccb4d0bf
module.decoder.d1.squeeze1.0.weight                                |           [64, 512, 1, 1] |          32,768 | 176a20ff
module.decoder.d1.squeeze1.0.bias                                  |                      [64] |              64 | 5f6b11a3
module.decoder.d1.squeeze1.1.weight                                |                      [64] |              64 | b521d9ed
module.decoder.d1.squeeze1.1.bias                                  |                      [64] |              64 | c84a65d8
module.decoder.d1.squeeze1.1.running_mean                          |                      [64] |              64 | 65a82b39
module.decoder.d1.squeeze1.1.running_var                           |                      [64] |              64 | 7e6021c0
module.decoder.d1.squeeze1.1.num_batches_tracked                   |                        [] |               1 | ccb4d0bf
module.decoder.d1.squeeze2.0.weight                                |            [64, 64, 3, 3] |          36,864 | 2e9294b3
module.decoder.d1.squeeze2.0.bias                                  |                      [64] |              64 | 25db6a3e
module.decoder.d1.squeeze2.1.weight                                |                      [64] |              64 | c0d874dd
module.decoder.d1.squeeze2.1.bias                                  |                      [64] |              64 | ee4954de
module.decoder.d1.squeeze2.1.running_mean                          |                      [64] |              64 | d1ee92d9
module.decoder.d1.squeeze2.1.running_var                           |                      [64] |              64 | 4578cb0f
module.decoder.d1.squeeze2.1.num_batches_tracked                   |                        [] |               1 | ccb4d0bf
module.decoder.d2.short_cut.weight                                 |            [64, 64, 1, 1] |           4,096 | daa4e632
module.decoder.d2.short_cut.bias                                   |                      [64] |              64 | bd4e5e23
module.decoder.d2.conv.0.weight                                    |           [64, 576, 3, 3] |         331,776 | 5e23c940
module.decoder.d2.conv.0.bias                                      |                      [64] |              64 | f2067edc
module.decoder.d2.conv.1.weight                                    |                      [64] |              64 | 5d3ebe0d
module.decoder.d2.conv.1.bias                                      |                      [64] |              64 | 270fabde
module.decoder.d2.conv.1.running_mean                              |                      [64] |              64 | 984a9ab7
module.decoder.d2.conv.1.running_var                               |                      [64] |              64 | 3b08dc50
module.decoder.d2.conv.1.num_batches_tracked                       |                        [] |               1 | ccb4d0bf
module.decoder.d2.conv.3.weight                                    |            [64, 64, 3, 3] |          36,864 | 31682f9f
module.decoder.d2.conv.3.bias                                      |                      [64] |              64 | 4a4d893c
module.decoder.d2.conv.4.weight                                    |                      [64] |              64 | eea28641
module.decoder.d2.conv.4.bias                                      |                      [64] |              64 | 3dff76ff
module.decoder.d2.conv.4.running_mean                              |                      [64] |              64 | fe903858
module.decoder.d2.conv.4.running_var                               |                      [64] |              64 | c82a6426
module.decoder.d2.conv.4.num_batches_tracked                       |                        [] |               1 | ccb4d0bf
module.decoder.d2.conv2.0.weight                                   |            [64, 64, 3, 3] |          36,864 | aba4beb9
module.decoder.d2.conv2.0.bias                                     |                      [64] |              64 | e8dcec15
module.decoder.d2.conv2.1.weight                                   |                      [64] |              64 | 73dd2ac1
module.decoder.d2.conv2.1.bias                                     |                      [64] |              64 | 7f75537e
module.decoder.d2.conv2.1.running_mean                             |                      [64] |              64 | 9acb4352
module.decoder.d2.conv2.1.running_var                              |                      [64] |              64 | e6c52992
module.decoder.d2.conv2.1.num_batches_tracked                      |                        [] |               1 | ccb4d0bf
module.decoder.d2.conv2.3.weight                                   |            [64, 64, 3, 3] |          36,864 | 115e85da
module.decoder.d2.conv2.3.bias                                     |                      [64] |              64 | f8c3463f
module.decoder.d2.conv2.4.weight                                   |                      [64] |              64 | 4ac0d864
module.decoder.d2.conv2.4.bias                                     |                      [64] |              64 | 3461e413
module.decoder.d2.conv2.4.running_mean                             |                      [64] |              64 | 80005d6b
module.decoder.d2.conv2.4.running_var                              |                      [64] |              64 | cb42cdd9
module.decoder.d2.conv2.4.num_batches_tracked                      |                        [] |               1 | ccb4d0bf
module.decoder.d3.short_cut.weight                                 |            [64, 64, 1, 1] |           4,096 | 339b8d5b
module.decoder.d3.short_cut.bias                                   |                      [64] |              64 | 2ff8dd1f
module.decoder.d3.conv.0.weight                                    |           [64, 128, 3, 3] |          73,728 | 432df8f1
module.decoder.d3.conv.0.bias                                      |                      [64] |              64 | a943f6b4
module.decoder.d3.conv.1.weight                                    |                      [64] |              64 | 60c4f0cc
