Analyzing: models/RMFormer_KUH_final.pth

--- PyTorch Model State Dict ---
Key                                                                    |                     Shape |    Num Elements | SHA256 (start)
-------------------------------------------------------------------------------------------------------------------------------------
lr_branch.patch_embed.proj.weight                                      |            [128, 3, 4, 4] |           6,144 | acf58f48
lr_branch.patch_embed.proj.bias                                        |                     [128] |             128 | 5027826b
lr_branch.patch_embed.norm.weight                                      |                     [128] |             128 | aee85713
lr_branch.patch_embed.norm.bias                                        |                     [128] |             128 | 7a01614f
lr_branch.layers.0.blocks.0.norm1.weight                               |                     [128] |             128 | bd040255
lr_branch.layers.0.blocks.0.norm1.bias                                 |                     [128] |             128 | 54a92765
lr_branch.layers.0.blocks.0.attn.relative_position_bias_table          |                  [529, 4] |           2,116 | 8c0f2a3c
lr_branch.layers.0.blocks.0.attn.relative_position_index               |                [144, 144] |          20,736 | 66d081f9
lr_branch.layers.0.blocks.0.attn.qkv.weight                            |                [384, 128] |          49,152 | d7f788db
lr_branch.layers.0.blocks.0.attn.qkv.bias                              |                     [384] |             384 | 2acbb144
lr_branch.layers.0.blocks.0.attn.proj.weight                           |                [128, 128] |          16,384 | 35002e50
lr_branch.layers.0.blocks.0.attn.proj.bias                             |                     [128] |             128 | cc9b8bf4
lr_branch.layers.0.blocks.0.norm2.weight                               |                     [128] |             128 | 20070b8b
lr_branch.layers.0.blocks.0.norm2.bias                                 |                     [128] |             128 | c88cf5dd
lr_branch.layers.0.blocks.0.mlp.fc1.weight                             |                [512, 128] |          65,536 | 911821e9
lr_branch.layers.0.blocks.0.mlp.fc1.bias                               |                     [512] |             512 | 8d2adc22
lr_branch.layers.0.blocks.0.mlp.fc2.weight                             |                [128, 512] |          65,536 | 1cfae339
lr_branch.layers.0.blocks.0.mlp.fc2.bias                               |                     [128] |             128 | 1904534d
lr_branch.layers.0.blocks.1.norm1.weight                               |                     [128] |             128 | 5dd8c406
lr_branch.layers.0.blocks.1.norm1.bias                                 |                     [128] |             128 | 563a32fb
lr_branch.layers.0.blocks.1.attn.relative_position_bias_table          |                  [529, 4] |           2,116 | 065c3291
lr_branch.layers.0.blocks.1.attn.relative_position_index               |                [144, 144] |          20,736 | 66d081f9
lr_branch.layers.0.blocks.1.attn.qkv.weight                            |                [384, 128] |          49,152 | ceed0d7a
lr_branch.layers.0.blocks.1.attn.qkv.bias                              |                     [384] |             384 | 32057f75
lr_branch.layers.0.blocks.1.attn.proj.weight                           |                [128, 128] |          16,384 | 44ffe657
lr_branch.layers.0.blocks.1.attn.proj.bias                             |                     [128] |             128 | 366885d1
lr_branch.layers.0.blocks.1.norm2.weight                               |                     [128] |             128 | a8b78a4c
lr_branch.layers.0.blocks.1.norm2.bias                                 |                     [128] |             128 | b80c131f
lr_branch.layers.0.blocks.1.mlp.fc1.weight                             |                [512, 128] |          65,536 | ad23d215
