Analyzing: models/RMFormer_KUH_F32.safetensors

--- PyTorch Model State Dict ---
Key                                                              |                     Shape |    Num Elements | SHA256 (start)
-------------------------------------------------------------------------------------------------------------------------------
lr_branch.layers.0.blocks.0.attn.relative_position_index         |                [144, 144] |          20,736 | 66d081f9
lr_branch.layers.0.blocks.1.attn.relative_position_index         |                [144, 144] |          20,736 | 66d081f9
lr_branch.layers.1.blocks.0.attn.relative_position_index         |                [144, 144] |          20,736 | 66d081f9
lr_branch.layers.1.blocks.1.attn.relative_position_index         |                [144, 144] |          20,736 | 66d081f9
lr_branch.layers.2.blocks.0.attn.relative_position_index         |                [144, 144] |          20,736 | 66d081f9
lr_branch.layers.2.blocks.1.attn.relative_position_index         |                [144, 144] |          20,736 | 66d081f9
lr_branch.layers.2.blocks.10.attn.relative_position_index        |                [144, 144] |          20,736 | 66d081f9
lr_branch.layers.2.blocks.11.attn.relative_position_index        |                [144, 144] |          20,736 | 66d081f9
lr_branch.layers.2.blocks.12.attn.relative_position_index        |                [144, 144] |          20,736 | 66d081f9
lr_branch.layers.2.blocks.13.attn.relative_position_index        |                [144, 144] |          20,736 | 66d081f9
lr_branch.layers.2.blocks.14.attn.relative_position_index        |                [144, 144] |          20,736 | 66d081f9
lr_branch.layers.2.blocks.15.attn.relative_position_index        |                [144, 144] |          20,736 | 66d081f9
lr_branch.layers.2.blocks.16.attn.relative_position_index        |                [144, 144] |          20,736 | 66d081f9
lr_branch.layers.2.blocks.17.attn.relative_position_index        |                [144, 144] |          20,736 | 66d081f9
lr_branch.layers.2.blocks.2.attn.relative_position_index         |                [144, 144] |          20,736 | 66d081f9
lr_branch.layers.2.blocks.3.attn.relative_position_index         |                [144, 144] |          20,736 | 66d081f9
lr_branch.layers.2.blocks.4.attn.relative_position_index         |                [144, 144] |          20,736 | 66d081f9
lr_branch.layers.2.blocks.5.attn.relative_position_index         |                [144, 144] |          20,736 | 66d081f9
lr_branch.layers.2.blocks.6.attn.relative_position_index         |                [144, 144] |          20,736 | 66d081f9
lr_branch.layers.2.blocks.7.attn.relative_position_index         |                [144, 144] |          20,736 | 66d081f9
lr_branch.layers.2.blocks.8.attn.relative_position_index         |                [144, 144] |          20,736 | 66d081f9
lr_branch.layers.2.blocks.9.attn.relative_position_index         |                [144, 144] |          20,736 | 66d081f9
lr_branch.layers.3.blocks.0.attn.relative_position_index         |                [144, 144] |          20,736 | 66d081f9
lr_branch.layers.3.blocks.1.attn.relative_position_index         |                [144, 144] |          20,736 | 66d081f9
pr.down_conv.1.num_batches_tracked                               |                        [] |               1 | f30f5664
pr.down_conv.3.num_batches_tracked                               |                        [] |               1 | f30f5664
pr.down_conv.5.num_batches_tracked                               |                        [] |               1 | f30f5664
pr.down_conv1.1.num_batches_tracked                              |                        [] |               1 | f30f5664
pr.down_conv1.3.num_batches_tracked                              |                        [] |               1 | f30f5664
pr.down_conv1.5.num_batches_tracked                              |                        [] |               1 | f30f5664
predictor.conv_shrink_1.bn.num_batches_tracked                   |                        [] |               1 | 12669d77
predictor.conv_shrink_2.bn.num_batches_tracked                   |                        [] |               1 | 12669d77
