Analyzing: models/BAS/basnet.pth

--- PyTorch Model State Dict ---
Key                                    |                     Shape |    Num Elements | SHA256 (start)
-----------------------------------------------------------------------------------------------------
inconv.weight                          |             [64, 3, 3, 3] |           1,728 | 0250e904
inconv.bias                            |                      [64] |              64 | a4b30efb
inbn.weight                            |                      [64] |              64 | 035cf1e9
inbn.bias                              |                      [64] |              64 | 7a26809a
inbn.running_mean                      |                      [64] |              64 | 019809b9
inbn.running_var                       |                      [64] |              64 | c222ccf9
encoder1.0.conv1.weight                |            [64, 64, 3, 3] |          36,864 | 09675ea0
encoder1.0.bn1.weight                  |                      [64] |              64 | ea96c9de
encoder1.0.bn1.bias                    |                      [64] |              64 | fe260a65
encoder1.0.bn1.running_mean            |                      [64] |              64 | 8f757698
encoder1.0.bn1.running_var             |                      [64] |              64 | 35d6441f
encoder1.0.conv2.weight                |            [64, 64, 3, 3] |          36,864 | b7ef23ac
encoder1.0.bn2.weight                  |                      [64] |              64 | edd39871
encoder1.0.bn2.bias                    |                      [64] |              64 | d1663f27
encoder1.0.bn2.running_mean            |                      [64] |              64 | 1fca2926
encoder1.0.bn2.running_var             |                      [64] |              64 | d4fdf160
encoder1.1.conv1.weight                |            [64, 64, 3, 3] |          36,864 | f4a03743
encoder1.1.bn1.weight                  |                      [64] |              64 | 8920f6ca
encoder1.1.bn1.bias                    |                      [64] |              64 | 98782924
encoder1.1.bn1.running_mean            |                      [64] |              64 | c69c4286
encoder1.1.bn1.running_var             |                      [64] |              64 | 68037a55
encoder1.1.conv2.weight                |            [64, 64, 3, 3] |          36,864 | 86541fb9
encoder1.1.bn2.weight                  |                      [64] |              64 | 6d8fa49d
encoder1.1.bn2.bias                    |                      [64] |              64 | d11d416c
encoder1.1.bn2.running_mean            |                      [64] |              64 | db869556
encoder1.1.bn2.running_var             |                      [64] |              64 | a11c8941
encoder1.2.conv1.weight                |            [64, 64, 3, 3] |          36,864 | 02672925
encoder1.2.bn1.weight                  |                      [64] |              64 | 5b8dfdd5
encoder1.2.bn1.bias                    |                      [64] |              64 | 88f99da2
encoder1.2.bn1.running_mean            |                      [64] |              64 | acb1b216
encoder1.2.bn1.running_var             |                      [64] |              64 | bc5a5161
encoder1.2.conv2.weight                |            [64, 64, 3, 3] |          36,864 | 06cca2d9
encoder1.2.bn2.weight                  |                      [64] |              64 | c731ff8d
encoder1.2.bn2.bias                    |                      [64] |              64 | ce73bdd9
encoder1.2.bn2.running_mean            |                      [64] |              64 | 0f3a395d
encoder1.2.bn2.running_var             |                      [64] |              64 | f9813f4f
encoder2.0.conv1.weight                |           [128, 64, 3, 3] |          73,728 | 4fede678
encoder2.0.bn1.weight                  |                     [128] |             128 | 10488183
encoder2.0.bn1.bias                    |                     [128] |             128 | 3c461da1
encoder2.0.bn1.running_mean            |                     [128] |             128 | 5ad4f6db
encoder2.0.bn1.running_var             |                     [128] |             128 | 541eda24
encoder2.0.conv2.weight                |          [128, 128, 3, 3] |         147,456 | a3d4e545
encoder2.0.bn2.weight                  |                     [128] |             128 | ec33dff7
encoder2.0.bn2.bias                    |                     [128] |             128 | 662f7df2
encoder2.0.bn2.running_mean            |                     [128] |             128 | a1613ac2
encoder2.0.bn2.running_var             |                     [128] |             128 | e35c4444
encoder2.0.downsample.0.weight         |           [128, 64, 1, 1] |           8,192 | b85818bd
encoder2.0.downsample.1.weight         |                     [128] |             128 | 2f069c86
encoder2.0.downsample.1.bias           |                     [128] |             128 | 662f7df2
encoder2.0.downsample.1.running_mean   |                     [128] |             128 | 5709a532
encoder2.0.downsample.1.running_var    |                     [128] |             128 | a606f707
encoder2.1.conv1.weight                |          [128, 128, 3, 3] |         147,456 | dd6f7e21
encoder2.1.bn1.weight                  |                     [128] |             128 | fa3ae2a1
encoder2.1.bn1.bias                    |                     [128] |             128 | b01b9ba4
encoder2.1.bn1.running_mean            |                     [128] |             128 | 543f96a1
encoder2.1.bn1.running_var             |                     [128] |             128 | b41fd226
encoder2.1.conv2.weight                |          [128, 128, 3, 3] |         147,456 | d24bce69
encoder2.1.bn2.weight                  |                     [128] |             128 | f8c2ee08
encoder2.1.bn2.bias                    |                     [128] |             128 | 6410cd59
